Date	Product ID	Product Name	Units Sold	Unit Price	Total Sales
2025-03-01	P001	Laptop	15	499.34	7490.16
2025-03-01	P002	Mouse	7	631.95	4423.65
2025-03-01	P003	Keyboard	7	252.72	1769.04
2025-03-01	P004	Monitor	15	1383.28	20749.21
2025-03-01	P005	Printer	12	842.44	10109.3
2025-03-02	P001	Laptop	6	306.93	1841.6
2025-03-02	P002	Mouse	7	1031.26	7218.83
2025-03-02	P003	Keyboard	15	977.19	14657.91
2025-03-02	P004	Monitor	5	1346.84	6734.18
2025-03-02	P005	Printer	8	684.34	5474.73
2025-03-03	P001	Laptop	12	1421.36	17056.32
2025-03-03	P002	Mouse	2	73.29	146.58
2025-03-03	P003	Keyboard	17	113.98	1937.69
2025-03-03	P004	Monitor	2	1219.66	2439.31
2025-03-03	P005	Printer	14	832.88	11660.26
2025-03-04	P001	Laptop	4	842.47	3369.88
2025-03-04	P002	Mouse	11	219.72	2416.95
2025-03-04	P003	Keyboard	12	360.69	4328.28
2025-03-04	P004	Monitor	4	1138.64	4554.55
2025-03-04	P005	Printer	9	1352.41	12171.67
2025-03-05	P001	Laptop	15	245.11	3676.72
2025-03-05	P002	Mouse	10	1363.1	13631.03
2025-03-05	P003	Keyboard	18	652.01	11736.1
2025-03-05	P004	Monitor	4	95.46	381.85
2025-03-05	P005	Printer	15	1292.12	19381.82
2025-03-06	P001	Laptop	5	976.35	4881.74
2025-03-06	P002	Mouse	9	1485.49	13369.42
2025-03-06	P003	Keyboard	16	1399.98	22399.69
2025-03-06	P004	Monitor	5	184.77	923.85
2025-03-06	P005	Printer	11	441.81	4859.95
2025-03-07	P001	Laptop	17	946	16082.05
2025-03-07	P002	Mouse	17	1194.56	20307.58
2025-03-07	P003	Keyboard	3	824.47	2473.41
2025-03-07	P004	Monitor	2	1060.89	2121.79
2025-03-07	P005	Printer	3	769.47	2308.41
2025-03-08	P001	Laptop	8	1249.63	9997.03
2025-03-08	P002	Mouse	11	418.32	4601.55
2025-03-08	P003	Keyboard	17	302.76	5146.97
2025-03-08	P004	Monitor	4	121.04	484.14
2025-03-08	P005	Printer	11	172.49	1897.44
2025-03-09	P001	Laptop	12	481.87	5782.38
2025-03-09	P002	Mouse	12	584.56	7014.77
2025-03-09	P003	Keyboard	13	204.48	2658.29
2025-03-09	P004	Monitor	10	1360.74	13607.41
2025-03-09	P005	Printer	18	1080.63	19451.42
2025-03-10	P001	Laptop	5	163.54	817.71
2025-03-10	P002	Mouse	4	953.07	3812.29
2025-03-10	P003	Keyboard	18	377.37	6792.73
2025-03-10	P004	Monitor	14	427.81	5989.32
2025-03-10	P005	Printer	19	682.59	12969.28
2025-03-11	P001	Laptop	18	1180.41	21247.39
2025-03-11	P002	Mouse	16	678.37	10853.84
2025-03-11	P003	Keyboard	12	391.74	4700.9
2025-03-11	P004	Monitor	3	239.8	719.39
2025-03-11	P005	Printer	17	672.23	11427.88
2025-03-12	P001	Laptop	5	253.52	1267.61
2025-03-12	P002	Mouse	15	843.99	12659.82
2025-03-12	P003	Keyboard	10	1475.09	14750.9
2025-03-12	P004	Monitor	11	280.2	3082.19
2025-03-12	P005	Printer	2	1469.11	2938.22
2025-03-13	P001	Laptop	8	1222.58	9780.63
2025-03-13	P002	Mouse	1	1067.53	1067.53
2025-03-13	P003	Keyboard	6	613.45	3680.72
2025-03-13	P004	Monitor	1	299.56	299.56
2025-03-13	P005	Printer	17	1113.12	18923.08
2025-03-14	P001	Laptop	2	700.37	1400.74
2025-03-14	P002	Mouse	16	430.19	6882.97
2025-03-14	P003	Keyboard	9	103.54	931.82
2025-03-14	P004	Monitor	13	836.07	10868.85
2025-03-14	P005	Printer	6	1127.37	6764.2
2025-03-15	P001	Laptop	14	1375.16	19252.2
2025-03-15	P002	Mouse	19	230.04	4370.76
2025-03-15	P003	Keyboard	15	733.89	11008.34
2025-03-15	P004	Monitor	9	825.13	7426.19
2025-03-15	P005	Printer	6	1455.41	8732.47
2025-03-16	P001	Laptop	14	1388.44	19438.18
2025-03-16	P002	Mouse	1	860.99	860.99
2025-03-16	P003	Keyboard	15	60.92	913.84
2025-03-16	P004	Monitor	4	1079.57	4318.29
2025-03-16	P005	Printer	7	1141.39	7989.73
2025-03-17	P001	Laptop	3	1220.25	3660.75
2025-03-17	P002	Mouse	6	275.58	1653.47
2025-03-17	P003	Keyboard	17	257.19	4372.19
2025-03-17	P004	Monitor	18	238.56	4294.06
